  R                          dLalpha0                 ddLtemp0                   ddLalpha0                 ddbeta
  0.90000000000000002        9.4326954144797632       -131.20497483897225        73.410416765309790       -3551.0041260795447     
  0.89945795529232764        9.3887520002354208       -129.82802139572496        72.516782795380763       -3493.4505130924681     
  0.89783312700248863        9.2602083316325476       -125.83225445572430        69.900581258382132       -3327.4851847333571     
  0.89512942948415153        9.0565173612232233       -119.59679422405549        65.749207821485157       -3071.7826172819000     
  0.89135337618145372        8.7921257428648971       -111.67399765325791        60.361737628263270       -2753.2332366793426     
  0.88651406393754484        8.4846456664382917       -102.69368784844664        54.129280308807196       -2402.0565791542781     
  0.88062315107949396        8.1525973099066462       -93.266413586693560        47.498130873056056       -2046.9920638240148     
  0.87369482933235931        7.8130627447853405       -83.906579553256719        40.922493099917084       -1711.6088145853550     
  0.86574578963007909        7.4796661545227350       -74.987405313213372        34.808646622379577       -1412.2562349068687     
  0.85679518190554960        7.1612955081312881       -66.730111538145110        29.461902970001070       -1157.5688900274226     
  0.84686456895675977        6.8618508509614955       -59.221830757814189        25.047479913032809       -949.24047088550503     
  0.83597787450012251        6.5810718114592621       -52.452215904520159        21.577063914597645       -783.58136138394730     
  0.82416132553614541        6.3161927237480509       -46.357138617913989        18.926465401457342       -653.50884377284547     
  0.81144338916629022        6.0639270812199513       -40.858382299430843        16.881784650107342       -550.61357879094510     
  0.79785470401323166        5.8221567982707549       -35.891065972164284        15.203810915521826       -466.97276411586256     
  0.78342800640973165        5.5907901680555145       -31.414809495330719        13.693303387092538       -396.43992549872547     
  0.76819805153394638        5.3715246523197067       -27.409671980908886        12.239701758952197       -335.23647182789290     
  0.75220152968115828        5.1666458695451096       -23.862108147135583        10.838783133449150       -281.84814884728706     
  0.73547697787364064        4.9773625576929046       -20.748395939138977        9.5749566666400998       -236.37557921948203     
  0.71806468702159509        4.8023872744300604       -18.022784952220434        8.5736355575739402       -199.59289315679041     
  0.70000660485882105        4.6374267005390557       -15.615307306325668        7.9396213039100072       -171.99569573893285     
  0.68134623488694979        4.4759420457065584       -13.440524385194351        7.7014988904806589       -153.10409631697561     
  0.66212853157169904        4.3110700815043534       -11.414410752303244        7.7813907324409071       -141.20804810601561     
  0.64239979204362696        4.1381283357768224       -9.4734395965700244        8.0008495434392533       -133.60328797340313     
  0.62220754456429039        3.9568359751007010       -7.5890965627359872        8.1229564818794646       -127.19095816307248     
  0.60160043402649899        3.7723934130635404       -5.7729015620180526        7.9178238789630262       -119.20199687829937     
  0.58062810476450799        3.5948942066029010       -4.0705142604966040        7.2313982982392533       -107.80784004586276     
  0.55934108095646884        3.4370939854232048       -2.5468376249542182        6.0346901891829425       -92.477227237093743     
  0.53779064490725781        3.3111445695246093       -1.2661491192749663        4.4370266560592579       -74.027560840958330     
  0.51602871350491275        3.2253038127736411      -0.27240162161410336        2.6571753070869897       -54.352046723913617     
  0.49410771314830243        3.1816989006725880       0.42450440946139861       0.96061049388459352       -35.811681167927397     
  0.47208045344733818        3.1759067283540481       0.85091846921064562      -0.41845129913987567       -20.362809564317729     
  0.45000000000000001        3.1985202971104760        1.0570530701441228       -1.3452040936727072       -8.6529852180460463     
  0.42791954655266190        3.2381890674786846        1.0922263581116571       -1.8209275078419551       0.54610469842410936     
  0.40589228685169770        3.2851024407482017       0.97606029621471946       -1.9752062762220417        10.246213444231156     
  0.38397128649508727        3.3337086319431473       0.67742456940663986       -2.0156789667236206        24.407024272798829     
  0.36220935509274232        3.3837104480205147       0.11147501929777032       -2.1501735387164116        46.564175013680469     
  0.34065891904353129        3.4389630862158187      -0.84056510120189054       -2.5063120343648690        78.310524600270014     
  0.31937189523549198        3.5046337171627941       -2.2918730838275088       -3.0742263994944450        118.09211013806329     
  0.29839956597350104        3.5835947102735619       -4.3013700370099173       -3.6922004160074788        160.80173566176057     
  0.27779245543570963        3.6733165910633963       -6.8325197199371708       -4.0809768732104006        198.58243607966438     
  0.25760020795637317        3.7643758430477701       -9.7374840483357765       -3.9181244220071991        222.91286675110618     
  0.23787146842830104        3.8411733983132423       -12.777705315692726       -2.9302891301543346        227.40221858100784     
  0.21865376511305032        3.8847242641070516       -15.677165130514789      -0.97615525706592665        210.12167316180759     
  0.19999339514117911        3.8767129959104905       -18.188796850192070        1.9051959282677156        174.30874599365006     
  0.18193531297840504        3.8036046664503309       -20.148101116293464        5.4944982428732132        127.09019587719786     
  0.16452302212635964        3.6596256766028117       -21.495722561643309        9.4408167307109743        76.957853197042056     
  0.14779847031884172        3.4478172852148110       -22.267105307746988        13.342841516262476        31.289774414477733     
  0.13180194846605364        3.1790153478548819       -22.561429634626876        16.838291229462580       -5.0875113255867337     
  0.11657199359026850        2.8692365391267343       -22.506554479966514        19.674860045938750       -30.066569651318282     
  0.10214529598676836        2.5363967316686047       -22.232168952397469        21.743031594240239       -43.559689465928464     
   8.8556610833709831E-002   2.1973522090282205       -21.855198869340661        23.064294901873858       -46.535618904949146     
   7.5838674463854602E-002   1.8660115349839883       -21.474917077118459        23.742368161956652       -40.252047050157287     
   6.4022125499877555E-002   1.5527623046432426       -21.172473808925304        23.897914993403006       -25.878800170498554     
   5.3135431043240276E-002   1.2649718014163680       -21.010328834671515        23.610214452721138       -4.4874972643443654     
   4.3204818094450502E-002   1.0079583727220258       -21.029668124120882        22.888349005375289        22.743192983421000     
   3.4254210369920969E-002  0.78579521370900829       -21.246571569446619        21.680066835266089        54.290492427346123     
   2.6305170667640689E-002  0.60150316352885647       -21.649288778037096        19.917432272228023        88.178345683168558     
